state_name,year,ai_jobs_count,percent,all_jobs_state_year,state_ai_share_within_state
Alabama,2010,1,0.6711409395973155,160,0.00625
Alabama,2011,2,1.2658227848101267,220,0.00909090909090909
Alabama,2012,2,1.0204081632653061,197,0.01015228426395939
Alabama,2013,1,0.3597122302158273,240,0.004166666666666667
Alabama,2014,4,1.0554089709762533,248,0.016129032258064516
Alabama,2015,1,0.22988505747126436,288,0.003472222222222222
Alabama,2016,2,0.4166666666666667,344,0.005813953488372093
Alabama,2017,4,0.6920415224913494,351,0.011396011396011397
Alabama,2018,5,0.574052812858783,422,0.011848341232227487
Alabama,2019,3,0.336322869955157,389,0.007712082262210797
Alabama,2020,6,0.6912442396313364,407,0.014742014742014743
Alabama,2021,11,1.0119595216191353,544,0.02022058823529412
Alabama,2022,14,1.0401188707280833,611,0.022913256955810146
Alabama,2023,9,0.9782608695652174,552,0.016304347826086956
Alaska,2010,0,0,67,0
Alaska,2011,0,0,62,0
Alaska,2012,1,0.5102040816326531,89,0.011235955056179775
Alaska,2013,0,0,95,0
Alaska,2014,3,0.7915567282321899,113,0.02654867256637168
Alaska,2015,0,0,98,0
Alaska,2016,0,0,93,0
Alaska,2017,0,0,80,0
Alaska,2018,1,0.1148105625717566,73,0.0136986301369863
Alaska,2019,0,0,82,0
Alaska,2020,1,0.1152073732718894,83,0.012048192771084338
Alaska,2021,0,0,107,0
Alaska,2022,1,0.07429420505200594,117,0.008547008547008548
Alaska,2023,3,0.32608695652173914,116,0.02586206896551724
Arizona,2010,1,0.6711409395973155,282,0.0035460992907801418
Arizona,2011,6,3.7974683544303796,461,0.013015184381778741
Arizona,2012,1,0.5102040816326531,315,0.0031746031746031746
Arizona,2013,8,2.8776978417266186,431,0.018561484918793503
Arizona,2014,7,1.8469656992084433,495,0.014141414141414142
Arizona,2015,9,2.0689655172413794,640,0.0140625
Arizona,2016,7,1.4583333333333333,620,0.01129032258064516
Arizona,2017,8,1.3840830449826989,635,0.012598425196850394
Arizona,2018,22,2.5258323765786455,869,0.02531645569620253
Arizona,2019,13,1.4573991031390134,919,0.014145810663764961
Arizona,2020,25,2.880184331797235,1005,0.024875621890547265
Arizona,2021,32,2.9438822447102115,1265,0.025296442687747035
Arizona,2022,33,2.4517087667161963,1374,0.024017467248908297
Arizona,2023,16,1.7391304347826086,1014,0.015779092702169626
Arkansas,2010,1,0.6711409395973155,84,0.011904761904761904
Arkansas,2011,0,0,108,0
Arkansas,2012,2,1.0204081632653061,117,0.017094017094017096
Arkansas,2013,0,0,155,0
Arkansas,2014,1,0.2638522427440633,167,0.005988023952095809
Arkansas,2015,2,0.45977011494252873,186,0.010752688172043012
Arkansas,2016,0,0,256,0
Arkansas,2017,2,0.3460207612456747,193,0.010362694300518135
Arkansas,2018,2,0.2296211251435132,189,0.010582010582010581
Arkansas,2019,3,0.336322869955157,175,0.017142857142857144
Arkansas,2020,3,0.3456221198156682,191,0.015706806282722512
Arkansas,2021,1,0.09199632014719411,292,0.003424657534246575
Arkansas,2022,10,0.7429420505200595,357,0.028011204481792718
Arkansas,2023,4,0.43478260869565216,271,0.014760147601476014
California,2010,27,18.120805369127517,1564,0.017263427109974423
California,2011,23,14.556962025316455,1750,0.013142857142857144
California,2012,50,25.510204081632654,1936,0.025826446280991736
California,2013,44,15.827338129496402,2446,0.017988552739165987
California,2014,71,18.733509234828496,2518,0.028196981731532962
California,2015,68,15.632183908045977,2939,0.023137121469887716
California,2016,91,18.958333333333332,3184,0.02858040201005025
California,2017,99,17.1280276816609,3069,0.03225806451612903
California,2018,156,17.91044776119403,4478,0.034836980794997766
California,2019,171,19.170403587443946,5095,0.033562315996074586
California,2020,138,15.898617511520737,4742,0.029101644875579924
California,2021,184,16.927322907083717,5744,0.03203342618384401
California,2022,182,13.521545319465082,6271,0.029022484452240472
California,2023,112,12.173913043478262,4399,0.025460331893612183
Colorado,2010,1,0.6711409395973155,270,0.003703703703703704
Colorado,2011,4,2.5316455696202533,369,0.01084010840108401
Colorado,2012,5,2.5510204081632653,424,0.01179245283018868
Colorado,2013,10,3.5971223021582732,547,0.018281535648994516
Colorado,2014,5,1.3192612137203166,616,0.008116883116883116
Colorado,2015,10,2.2988505747126435,648,0.015432098765432098
Colorado,2016,7,1.4583333333333333,652,0.010736196319018405
Colorado,2017,11,1.9031141868512111,700,0.015714285714285715
Colorado,2018,19,2.1814006888633752,957,0.019853709508881923
Colorado,2019,27,3.0269058295964126,1072,0.025186567164179104
Colorado,2020,25,2.880184331797235,985,0.025380710659898477
Colorado,2021,27,2.483900643974241,1249,0.021617293835068056
Colorado,2022,24,1.7830609212481427,1372,0.01749271137026239
